티커,설명,가격,변화 %,변화,테크니컬 레이팅,거래량,볼륨*프라이스,마켓 캪,주가 수익 비율 (TTM),기초 주당 수익 (TTM),직원수,섹터
055550,신한금융지주회사보통주,36300,1.25523013,450,뉴트럴,1006998,36554027400,18388461465454,,9030.0745,,파이낸스
003670,포스코케미칼보통주,224000,-0.22271715,-500,바이,619647,138800928000,17390492595672.998,108.09006729,2076.9716,2019,프로세스 인더스트리
066570,LG전자보통주,92000,-0.96878364,-900,뉴트럴,864219,79508148000,15898267913437,10.58072461,8780.117,36499,콘슈머 듀어러블즈
096770,SK이노베이션 보통주,172500,0.87719298,1500,셀,298811,51544897500,14212381590664,,26130.3022,1353,에너지 미네랄
323410,카카오뱅크보통주,27700,-1.94690265,-550,바이,4459794,123536293800,13464908851624,57.02021826,501.6359,1022,파이낸스
003550,LG보통주,83300,-0.83333333,-700,바이,119704,9971343200,13396997511292,9.09620359,9234.6218,186,콘슈머 듀어러블즈
015760,한국전력공사보통주,19700,0.76726343,150,바이,1476551,29088054700,12550398376465,,-31707.5826,48809,유틸리티
034730,SK보통주,211000,-2.5404157,-5500,스트롱 셀,162473,34281803000,12144863430023,3.48287405,62291.5355,4448,파이낸스
032830,삼성생명보험보통주,66500,-1.33531157,-900,뉴트럴,142269,9460888500,12103340396118,,3885.7519,5250,파이낸스
010130,고려아연보통주,648000,0.93457944,6000,바이,87093,56436264000,11984469806671,15.65902828,40998.7126,1550,비에너지 미네럴
086790,하나금융지주보통주,41400,0.97560976,400,바이,680696,28180814400,11776220245361,,12361.6602,,파이낸스
033780,케이티앤지보통주,95000,0.31678986,300,바이,309623,29414185000,11362098370361,9.78426299,9678.8077,4408,컨슈머 논-듀어러블즈
247540,에코프로비엠,109300,-1.35379061,-1500,뉴트럴,622197,68006132100,10827472503662,,,1151,프로듀서 매뉴팩처링
017670,SK텔레콤보통주,49550,-0.60180542,-300,스트롱 셀,560271,27761428050,10772661369324,7.1166408,7070.3078,5339,커뮤니케이션
259960,크래프톤보통주,230000,0.21786492,500,바이,248585,57174550000,10764612298965,,,1616,테크놀로지 서비스
034020,두산에너빌리티보통주,16300,-0.3058104,-50,바이,5738679,93540467700,10434719888306,71.00138442,231.2292,5622,프로듀서 매뉴팩처링
051900,LG생활건강보통주,663000,-0.45045045,-3000,뉴트럴,36776,24382488000,10422690482616,23.12990258,28793.8956,4469,컨슈머 논-듀어러블즈
091990,셀트리온헬스케어,65700,-0.60514372,-400,셀,353276,23210233200,10342758863831,43.23827607,1530.0001,145,헬쓰 테크놀로지
009150,삼성전기보통주,138500,0.36231884,500,바이,468953,64949990500,10232049410963,10.92986655,12625.9547,11866,일렉트로닉 테크놀로지
329180,현대중공업보통주,117500,3.52422907,4000,바이,239547,28146772500,10075748786926,,-8001.8894,12811,프로듀서 매뉴팩처링
011200,에이치엠엠보통주,20400,-0.72992701,-150,뉴트럴,1031657,21045802800,10049761514282,1.85555172,24005.0815,1678,이송/배달
010950,S-OIL보통주,88200,1.61290323,1400,셀,794810,70102242000,9996699922585,4.66970275,18587.9069,3154,에너지 미네랄
018260,삼성에스디에스보통주,127500,0,0,바이,60183,7673332500,9862149124146,10.28114762,12401.3393,12019,테크놀로지 서비스
036570,엔씨소프트보통주,451000,-5.94369135,-28500,바이,154174,69532474000,9843849982262,16.48856449,29080.7608,4620,테크놀로지 서비스
009830,한화솔루션보통주,49800,0.20120724,100,바이,1027692,51179061600,9516290437031,32.62127715,1523.5455,6759,일렉트로닉 테크놀로지
003490,대한항공보통주,25200,-0.39525692,-100,바이,829212,20896142400,9347861204350,5.12646939,5019.7704,17992,이송/배달
316140,우리금융지주보통주,11750,-1.2605042,-150,뉴트럴,2106079,24746428250,8663892907715,,4111.8252,149,파이낸스
377300,카카오페이보통주,61600,-4.79134467,-3100,바이,1521198,93705796800,8585726330566,,-200.3176,,코머셜 서비스
030200,케이티보통주,36600,0.82644628,300,바이,759452,27795943200,8507841856384,,5927.9022,21759,커뮤니케이션
000810,삼성화재해상보험보통주,194000,0.25839793,500,셀,63974,12410956000,8135770612717,7.10570923,27231.6237,,파이낸스
024110,중소기업은행보통주,10800,-0.46082949,-50,바이,896144,9678355200,8075660827637,,3231.1307,,파이낸스
090430,아모레퍼시픽 보통주,118500,-1.65975104,-2000,바이,350642,41551077000,7547468832397,121.75784376,991.6693,5408,컨슈머 논-듀어러블즈
302440,에스케이바이오사이언스보통주,91400,-5.38302277,-5200,뉴트럴,502400,45919360000,7417339228821,26.57919342,3639.7534,1001,헬쓰 테크놀로지
